iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1
1,1379425151.3321948,34.081005,0.0,10.942306,80.972244
2,3.199615871794735,79.40874165,0.0,56.27004265,75.972244
3,3.1768342359348187,79.25310028046556,0.0,56.14034780408037,76.11037514862358
4,3.0898045423181255,79.16854817919716,0.0,56.010653359502484,76.24654896261463
5,3.0657909423249734,79.01405308002298,0.0,55.88091502303051,76.38272560938147
6,3.0384553562107084,78.86011500064895,0.0,55.75112001973438,76.51250451483716
7,2.918169004326229,78.77716418459394,0.0,55.621349952749725,76.71281694718684
8,2.881993137561496,78.6262055905148,0.0,55.421244649563064,76.83931359739913
9,2.853882798489826,78.4744020458088,0.0,55.29140549526205,76.96521663243087
10,2.800834153829334,78.39392041695473,0.0,55.161641644688494,77.15809340818653
11,2.7470989407993884,78.31370371294399,0.0,55.03182907864969,77.34862022581947
12,2.6928471089177695,78.2342935628482,0.0,54.901981530094666,77.5354676328323
13,2.6365761835054666,78.15573561481739,0.0,54.77211852368796,77.72180389528548
14,2.580008762873912,78.07796251798554,0.0,54.642257547996294,77.90255298357053
15,2.524618675179174,78.00102176244388,0.0,54.51241798281516,78.08009195242877
16,2.4576571142908374,77.85529352434243,0.0,54.38261322428741,78.25787295435013
17,2.3920304206476533,77.71042532284581,0.0,54.25293414526894,78.42853410815397
18,2.3237612514260992,77.56663711664478,0.0,54.12337726208222,78.59599643068567
19,2.2561582420568174,77.42389225666096,0.0,53.99395788340392,78.76005659146384
20,2.190040891464695,77.28219356951358,0.0,53.86469011639627,78.92085621818411
21,2.1173750543767387,77.14179527807899,0.0,53.7355853291046,79.08208198191925
22,2.0445210736732227,77.00233003847009,0.0,53.60673004176452,79.23490331485375
23,1.9693665666934805,76.86437697480729,0.0,53.47813993822854,79.38409472818171
24,1.952584301769475,76.7271026108484,0.0,53.28066765920563,79.52670943407645
25,1.8487849647556516,76.59100368647881,0.0,53.152420685601996,79.73752274784356
26,1.770832067498942,76.45647483696361,0.0,53.024503991733894,79.87475518316359
27,1.7429863638971375,76.25563071679228,0.0,52.8281667093386,80.00629481789817
28,1.6351145457866947,76.1235290643314,0.0,52.7008586731522,80.20100451780814
29,1.620197555696091,75.99185266844077,0.0,52.573979593164154,80.32500295376292
30,1.5093163741041238,75.86262697078381,0.0,52.44737602699931,80.51448808003566
