iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1
1,47.99457874154395,18.197401,0.0,5.4910116,85.50722
2,0.5913803628433207,22.487360208860693,0.0,15.442452303552933,85.16459025049289
3,-0.24376607876724332,23.119026313108364,0.0,16.091152443945028,85.01613488354549
4,-0.7110077683604432,23.611202776154247,0.0,16.542452707368327,84.87497279725159
5,-1.0181869730718072,23.984299628439704,0.0,16.870687986054044,84.7292825701663
6,-1.1330988297550633,24.20711040818069,0.0,17.11686361054248,84.62349549252353
7,-1.2585941196890555,24.400976781311208,0.0,17.311252185040527,84.53855770119203
8,-1.299029318750284,24.540636998940116,0.0,17.46513259952703,84.47165774754637
9,-1.3266024120476247,24.697811044542085,0.0,17.589941800515348,84.42224346254548
10,-1.4073392270450569,24.874716828667744,0.0,17.74541842149236,84.37950634367536
11,-1.4329898919568294,24.95438208642932,0.0,17.8141421253516,84.35739359379296
12,-1.4430900775628839,25.0734552919285,0.0,17.92776709694714,84.33525056919822
13,-1.4796466456771356,25.166271710506482,0.0,18.022257958705715,84.32541363681938
14,-1.4735199759050177,25.18134905246008,0.0,18.044016333211086,84.26613893919732
15,-1.4871825189610268,25.190103091033734,0.0,18.12005697406932,84.26618790449164
16,-1.4708929854944035,25.191857956474713,0.0,18.13169619777637,84.21163075397648
17,-1.5086993975234284,25.24787279736605,0.0,18.19917126977873,84.21483463107974
18,-1.4916945201519942,25.291925676936366,0.0,18.257918730278462,84.2220810122729
19,-1.4728608628207844,25.30886174380912,0.0,18.251108556714335,84.17766604843527
20,-1.5059440897864995,25.37996369146476,0.0,18.30062182223366,84.19244776778541
21,-1.5088811136632572,25.39940188762361,0.0,18.342049838956502,84.2139617642458
22,-1.5054538699333389,25.413975911313514,0.0,18.37979681269135,84.23184942075974
23,-1.5584607922398543,25.4248929415036,0.0,18.414263551005753,84.25214293887794
24,-1.4957909720533369,25.374890020100306,0.0,18.388276769711972,84.21502272323784
25,-1.495001875986735,25.389280075258732,0.0,18.424694483470102,84.2313213023158
26,-1.5483584799355707,25.39993017182859,0.0,18.45797227213113,84.25161757083818
27,-1.4872953982607804,25.349682091312907,0.0,18.43082092027034,84.21445252172981
28,-1.5411979727185523,25.36382967152357,0.0,18.466244042426737,84.23228812880117
29,-1.4801730807502782,25.316689855637012,0.0,18.440744476067728,84.19459965701427
30,-1.5366167302912395,25.333577204329522,0.0,18.477382558732153,84.21673957412885
