iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1
1,1.3217523462899963e+17,207.23526,0.0,64.861336,75.91039
2,5454835.65158333,482.8581558000001,0.0,340.48423180000003,70.91039
3,2.792844466080506e+17,1e-12,0.0,982.6855790140003,75.91039
4,7.2360751682942155,1306.9718200886214,0.0,982.6855790140003,75.91039
5,6.863451261045032,1306.9695016633875,0.0,982.6809661009603,76.53013228948006
6,6.552834891364013,1306.9674030799004,0.0,982.6763427883171,77.1089954960381
7,6.144995755813669,1306.9655305445756,0.0,982.6717409125638,77.72946783120958
8,5.804948158595204,1306.9639247059488,0.0,982.6671808739435,78.31295102009224
9,8.641675415675412,1306.96259514925,0.0,982.6626103596061,73.31295102009224
10,8.42180282289768,1306.9595711543918,0.0,982.6580011637324,73.79209008636785
11,8.095977086394385,1306.9566498198785,0.0,982.6533645139646,74.3318562190559
12,7.847531971839549,1306.953854456144,0.0,982.6487223950954,74.85197040953082
13,7.495743257768361,1306.951206635962,0.0,982.6440704486448,75.43109687193888
14,7.214235140253926,1306.9487310618347,0.0,982.6394315159796,75.98708787375372
15,6.8342165173358,1306.9464355709265,0.0,982.6347999862095,76.5918620783361
16,6.523700257303252,1306.94435981298,0.0,982.6301965612223,77.16760532476711
17,6.1173194193902525,1306.9425122890393,0.0,982.6256140285755,77.78578629524779
18,5.686369336253625,1306.940935428157,0.0,982.6210302093963,78.43965610956691
19,8.571234610118553,1306.9396646516875,0.0,982.6164667688487,73.43965610956691
20,8.32594126202189,1306.9366664448455,0.0,982.6118524476977,73.99167063908797
21,8.002107098117486,1306.9337919243178,0.0,982.6072331962531,74.52497738177026
22,7.750589502699781,1306.9310534460315,0.0,982.6026076030041,75.04122783169068
23,7.3973368193605005,1306.928458311817,0.0,982.5979720970919,75.61321083590698
24,7.116641629785107,1306.9260383541462,0.0,982.5933483589681,76.16123818047924
25,6.735022535897381,1306.9238061238996,0.0,982.5887304711912,76.75881978745767
26,6.422968691720161,1306.9217950735724,0.0,982.5841395163568,77.32550244960552
27,6.0120082272472395,1306.920015262643,0.0,982.5795676460991,77.93394567076638
28,5.673489128254234,1306.9185036883478,0.0,982.5749926707936,78.51312686195777
29,8.54298672146396,1306.9172693602661,0.0,982.5704502104838,73.51312686195777
30,8.220796685973525,1306.9142875455575,0.0,982.5658147927106,74.06235977005339
