,epsilon,rho_epsilon
0,-1.0,1.159999420952845e-50
1,-0.9,4.144636690778128e-50
2,-0.8,1.7696244680203294e-49
3,-0.7000000000000001,7.570168209106964e-49
4,-0.6000000000000001,3.2122307758754636e-48
5,-0.5000000000000001,1.351385430838315e-47
6,-0.40000000000000013,5.636833093872354e-47
7,-0.30000000000000016,2.331310024069366e-46
8,-0.20000000000000018,9.560962243847404e-46
9,-0.1000000000000002,3.888384528871544e-45
10,-2.220446049250313e-16,1.5683152122497905e-44
11,0.09999999999999964,6.273724802561467e-44
12,0.19999999999999973,2.4893017540527503e-43
13,0.2999999999999998,9.797649331115802e-43
14,0.3999999999999997,3.825522609002135e-42
15,0.49999999999999956,1.4818905672486323e-41
16,0.5999999999999996,5.695466542517395e-41
17,0.6999999999999997,2.1720045875082986e-40
18,0.7999999999999996,8.219393222146251e-40
19,0.8999999999999995,3.086699433474479e-39
20,0.9999999999999996,1.1504054482210212e-38
21,1.0999999999999996,4.2553399046757984e-38
22,1.1999999999999993,1.5623100179177388e-37
23,1.2999999999999994,5.6933877884379124e-37
24,1.3999999999999995,2.0595096217178343e-36
25,1.4999999999999996,7.395426781311845e-36
26,1.5999999999999996,2.6362327277189965e-35
27,1.6999999999999993,9.329061393382093e-35
28,1.7999999999999994,3.277452040507441e-34
29,1.8999999999999995,1.1431081668645113e-33
30,1.9999999999999991,3.9581954587677075e-33
31,2.099999999999999,1.3607250999921529e-32
32,2.1999999999999993,4.6441813633277985e-32
33,2.2999999999999994,1.573671311382213e-31
34,2.3999999999999995,5.293995817307306e-31
35,2.499999999999999,1.7681321910923515e-30
36,2.599999999999999,5.862766531845279e-30
37,2.6999999999999993,1.9299263210746527e-29
38,2.799999999999999,6.306974619521088e-29
39,2.899999999999999,2.046134264259589e-28
40,2.999999999999999,6.589749323760104e-28
41,3.0999999999999988,2.1067501711845268e-27
42,3.1999999999999993,6.685792566453559e-27
43,3.299999999999999,2.106073629197897e-26
44,3.3999999999999986,6.585046663238706e-26
45,3.499999999999999,2.043579386775986e-25
46,3.5999999999999988,6.294381926359018e-25
47,3.6999999999999993,1.924084212582702e-24
48,3.799999999999999,5.8369221852338356e-24
49,3.8999999999999986,1.7571587102242176e-23
50,3.999999999999999,5.249074771313646e-23
51,4.099999999999999,1.555878465442593e-22
52,4.199999999999999,4.575781026915317e-22
53,4.299999999999999,1.3351376175969263e-21
54,4.399999999999999,3.8648419358051304e-21
55,4.499999999999999,1.1098265612588925e-20
56,4.599999999999999,3.161316953568406e-20
57,4.699999999999998,8.93185169711969e-20
58,4.799999999999999,2.5029121744498894e-19
59,4.899999999999999,6.95584007934612e-19
60,4.999999999999998,1.9169985430788126e-18
61,5.099999999999999,5.2387739049040526e-18
62,5.199999999999998,1.4195143309898665e-17
63,5.299999999999999,3.813448105382976e-17
64,5.399999999999999,1.0156138439040119e-16
65,5.499999999999998,2.6812416848976627e-16
66,5.599999999999999,7.016214168043912e-16
67,5.699999999999998,1.8196641814249795e-15
68,5.799999999999999,4.676944896227413e-15
69,5.899999999999999,1.1911760649005054e-14
70,5.999999999999998,3.006017372278561e-14
71,6.099999999999999,7.515657287351463e-14
72,6.199999999999998,1.861484939595738e-13
73,6.299999999999998,4.56693951352144e-13
74,6.399999999999999,1.1097348423113018e-12
75,6.499999999999998,2.6705173896787343e-12
76,6.599999999999998,6.3636567804688955e-12
77,6.699999999999998,1.5014299306565393e-11
78,6.799999999999998,3.507043103260843e-11
79,6.899999999999999,8.108947080996322e-11
80,6.999999999999998,1.8557678453464423e-10
81,7.099999999999998,4.2030639271708303e-10
82,7.1999999999999975,9.41971430453319e-10
