,epsilon,rho_epsilon
0,-1.0,4.719283176419141e-128
1,-0.9,2.838097822790145e-127
2,-0.8,1.933811581441193e-126
3,-0.7000000000000001,1.3133096461491168e-125
4,-0.6000000000000001,8.864738970406372e-125
5,-0.5000000000000001,5.946797372809294e-124
6,-0.40000000000000013,3.964761202636307e-123
7,-0.30000000000000016,2.6270466937677824e-122
8,-0.20000000000000018,1.7299636579216528e-121
9,-0.1000000000000002,1.1322117240234153e-120
10,-2.220446049250313e-16,7.364519324914589e-120
11,0.09999999999999964,4.760948655630658e-119
12,0.19999999999999973,3.0590238296916365e-118
13,0.2999999999999998,1.953539402762981e-117
14,0.3999999999999997,1.2400034904394418e-116
15,0.49999999999999956,7.823450217708525e-116
16,0.5999999999999996,4.906406116765767e-115
17,0.6999999999999997,3.0586886606639305e-114
18,0.7999999999999996,1.8955369953626892e-113
19,0.8999999999999995,1.167816892595123e-112
20,0.9999999999999996,7.152940573782252e-112
21,1.0999999999999996,4.3559734301462715e-111
22,1.1999999999999993,2.6375535571432778e-110
23,1.2999999999999994,1.5880301027198925e-109
24,1.3999999999999995,9.507897702003973e-109
25,1.4999999999999996,5.661172458138681e-108
26,1.5999999999999996,3.3523767229907526e-107
27,1.6999999999999993,1.9744796494541884e-106
28,1.7999999999999994,1.1567380303364665e-105
29,1.8999999999999995,6.7410722480218535e-105
30,1.9999999999999991,3.9080803422726435e-104
31,2.099999999999999,2.2540681995582596e-103
32,2.1999999999999993,1.2935036266159129e-102
33,2.2999999999999994,7.385714290340873e-102
34,2.3999999999999995,4.196313665456312e-101
35,2.499999999999999,2.372571344313186e-100
36,2.599999999999999,1.334967491274145e-99
37,2.6999999999999993,7.475583860254398e-99
38,2.799999999999999,4.166431157995614e-98
39,2.899999999999999,2.311257118774795e-97
40,2.999999999999999,1.276192472614251e-96
41,3.0999999999999988,7.014318186144897e-96
42,3.1999999999999993,3.83771047535468e-95
43,3.299999999999999,2.0902157238561338e-94
44,3.3999999999999986,1.133327672314572e-93
45,3.499999999999999,6.1175472679230555e-93
46,3.5999999999999988,3.287511697579283e-92
47,3.6999999999999993,1.7588744025350899e-91
48,3.799999999999999,9.368889288827554e-91
49,3.8999999999999986,4.968601841535859e-90
50,3.999999999999999,2.6234878121611958e-89
51,4.099999999999999,1.3792010706543528e-88
52,4.199999999999999,7.219111161597997e-88
53,4.299999999999999,3.7622745356659285e-87
54,4.399999999999999,1.952225477099445e-86
55,4.499999999999999,1.0086105778278909e-85
56,4.599999999999999,5.188378533737665e-85
57,4.699999999999998,2.6573833441578955e-84
58,4.799999999999999,1.3551592685366617e-83
59,4.899999999999999,6.880794368027899e-83
60,4.999999999999998,3.4785389930424236e-82
61,5.099999999999999,1.750905214358138e-81
62,5.199999999999998,8.774709737476226e-81
63,5.299999999999999,4.378281420536682e-80
64,5.399999999999999,2.1750606219809716e-79
65,5.499999999999998,1.0757996916585761e-78
66,5.599999999999999,5.297598214288978e-78
67,5.699999999999998,2.5972216118614427e-77
