,epsilon,rho_epsilon
0,-1.0,7.76388192177841e-09
1,-0.95,8.87456717803536e-09
2,-0.8999999999999999,1.1402194967541371e-08
3,-0.8499999999999999,1.5691687393876288e-08
4,-0.7999999999999998,2.2341716408205004e-08
5,-0.7499999999999998,3.227550856808479e-08
6,-0.6999999999999997,4.6852363056074555e-08
7,-0.6499999999999997,6.80308839450731e-08
8,-0.5999999999999996,9.860039956405617e-08
9,-0.5499999999999996,1.4250375504166846e-07
10,-0.49999999999999956,2.052831933344024e-07
11,-0.4499999999999995,2.9469203948637583e-07
12,-0.39999999999999947,4.215291495973479e-07
13,-0.3499999999999994,6.007715208856425e-07
14,-0.2999999999999994,8.531042280516581e-07
15,-0.24999999999999933,1.206977346748708e-06
16,-0.1999999999999993,1.70135843118052e-06
17,-0.14999999999999925,2.3893984491340334e-06
18,-0.0999999999999992,3.3432912432802298e-06
19,-0.049999999999999156,4.660684402219714e-06
20,8.881784197001252e-16,6.473096163732746e-06
21,0.05000000000000093,8.956912390237508e-06
22,0.10000000000000098,1.2347683992813573e-05
23,0.15000000000000102,1.6958623145009208e-05
24,0.20000000000000107,2.3204411351813476e-05
25,0.2500000000000011,3.163168938508143e-05
26,0.30000000000000115,4.2957903917745886e-05
27,0.3500000000000012,5.812054402705438e-05
28,0.40000000000000124,7.833921794681291e-05
29,0.4500000000000013,0.00010519350124128479
30,0.5000000000000013,0.00014072003556929078
31,0.5500000000000014,0.0001875329743946051
32,0.6000000000000014,0.00024897255809933864
33,0.6500000000000015,0.00032928735270223156
34,0.7000000000000015,0.00043385649671928266
35,0.7500000000000016,0.0005694591579438372
36,0.8000000000000016,0.0007445992888883879
37,0.8500000000000016,0.0009698946628197551
38,0.9000000000000017,0.0012585400411689357
39,0.9500000000000017,0.001626855129398662
40,1.0000000000000018,0.002094928675971047
41,1.0500000000000016,0.0026873706036768634
42,1.1000000000000019,0.003434184372464444
43,1.1500000000000021,0.004371771789532781
44,1.200000000000002,0.0055440821320976805
45,1.2500000000000018,0.0070039166540613335
46,1.300000000000002,0.008814398232655039
47,1.3500000000000023,0.011050614000960773
48,1.4000000000000021,0.013801436240249064
49,1.450000000000002,0.017171523517326072
50,1.5000000000000022,0.021283500008407893
51,1.5500000000000025,0.026280306136257925
52,1.6000000000000023,0.03232770807231327
53,1.6500000000000021,0.03961694736290995
54,1.7000000000000024,0.04836750500682902
55,1.7500000000000027,0.05882994685716139
56,1.8000000000000025,0.07128880940094685
57,1.8500000000000023,0.08606547698201705
58,1.9000000000000026,0.10352099361037566
59,1.9500000000000028,0.124058744912853
60,2.0000000000000027,0.14812693881876396
61,2.0500000000000025,0.17622080755265918
62,2.1000000000000028,0.2088844487426605
63,2.150000000000003,0.24671222026042364
64,2.200000000000003,0.2903496020814046
65,2.2500000000000027,0.3404934392523658
66,2.300000000000003,0.3978914831899735
67,2.350000000000003,0.46334115416219546
68,2.400000000000003,0.5376874560028035
69,2.450000000000003,0.6218199848766026
70,2.500000000000003,0.7166689871587678
71,2.5500000000000034,0.8232004370343307
72,2.600000000000003,0.9424101219915483
73,2.650000000000003,1.0753167436181326
74,2.7000000000000033,1.2229540615778247
75,2.7500000000000036,1.3863621298479538
76,2.8000000000000034,1.5665776956888748
77,2.850000000000003,1.7646238528154776
78,2.9000000000000035,1.9814990602604898
79,2.9500000000000037,2.2181656568802635
80,3.0000000000000036,2.4755380178082915
81,3.0500000000000034,2.7544705129123885
82,3.100000000000003,3.05574543802942
83,3.150000000000004,3.380061097091271
84,3.2000000000000037,3.728020216967629
85,3.2500000000000036,4.1001188767891765
86,3.3000000000000043,4.496736129640719
87,3.350000000000004,4.918124486897741
88,3.400000000000004,5.364401424295893
89,3.4500000000000037,5.83554205434196
90,3.5000000000000036,6.33137309225377
91,3.5500000000000043,6.851568222684683
92,3.600000000000004,7.3956449525325665
93,3.650000000000004,7.962963011680953
94,3.7000000000000046,8.552724339122024
95,3.7500000000000044,9.16397466712434
96,3.8000000000000043,9.79560669147986
97,3.850000000000004,10.446364791916329
98,3.900000000000004,11.114851243975808
99,3.9500000000000046,11.799533842471257
100,4.000000000000004,12.498754837414948
101,4.050000000000004,13.210741066374215
102,4.100000000000005,13.933615152791274
103,4.150000000000005,14.66540762807302
104,4.200000000000005,15.404069826311721
105,4.250000000000004,16.14748739436896
106,4.300000000000004,16.89349425670826
107,4.350000000000005,17.639886873706292
108,4.400000000000005,18.384438634064413
109,4.450000000000005,19.12491422619607
110,4.500000000000005,19.859083839859164
111,4.550000000000005,20.58473705758683
112,4.600000000000005,21.29969630537712
113,4.650000000000005,22.00182974335275
114,4.700000000000005,22.68906348941264
115,4.750000000000005,23.359393081987264
116,4.800000000000005,24.010894101607658
117,4.850000000000005,24.641731884845377
118,4.900000000000006,25.250170278036716
119,4.9500000000000055,25.834579391850447
120,5.000000000000005,26.393442330998074
121,5.050000000000005,26.925360886048118
122,5.100000000000005,27.429060186247337
123,5.150000000000006,27.90339232335285
124,5.2000000000000055,28.347338966646465
125,5.250000000000005,28.76001299846984
126,5.300000000000006,29.14065920773824
127,5.350000000000006,29.4886540859422
128,5.400000000000006,29.803504776123205
129,5.4500000000000055,30.08484723022771
130,5.500000000000005,30.332443634131934
131,5.550000000000006,30.546179162529437
132,5.600000000000006,30.72605812783875
133,5.650000000000006,30.872199588379992
134,5.700000000000006,30.984832481355728
135,5.750000000000006,31.0642903457263
136,5.800000000000006,31.111005698966512
137,5.850000000000006,31.12550413000996
138,5.900000000000006,31.1083981685019
139,5.950000000000006,31.060380987870815
