,epsilon,rho_epsilon
0,-1.0,4.842713447859185e-99
1,-0.9,2.5143491968653033e-98
2,-0.8,1.5005122196010998e-97
3,-0.7000000000000001,8.930562058827809e-97
4,-0.6000000000000001,5.279279671723978e-96
5,-0.5000000000000001,3.099428694249488e-95
6,-0.40000000000000013,1.8071833395058473e-94
7,-0.30000000000000016,1.0465065751468342e-93
8,-0.20000000000000018,6.018779753396315e-93
9,-0.1000000000000002,3.438042398994265e-92
10,-2.220446049250313e-16,1.9505714160810006e-91
11,0.09999999999999964,1.0991929525769683e-90
12,0.19999999999999973,6.152662628239379e-90
13,0.2999999999999998,3.4209521224742844e-89
14,0.3999999999999997,1.889492666349839e-88
15,0.49999999999999956,1.036762332878474e-87
16,0.5999999999999996,5.651610524105647e-87
17,0.6999999999999997,3.0608998365789792e-86
18,0.7999999999999996,1.6471616670206462e-85
19,0.8999999999999995,8.807673006464123e-85
20,0.9999999999999996,4.680073909225495e-84
21,1.0999999999999996,2.4713850625128315e-83
22,1.1999999999999993,1.2970435352796082e-82
23,1.2999999999999994,6.765903324678881e-82
24,1.3999999999999995,3.508205029758051e-81
25,1.4999999999999996,1.808268338241909e-80
26,1.5999999999999996,9.265951543154445e-80
27,1.6999999999999993,4.720591369393222e-79
28,1.7999999999999994,2.391174808192748e-78
29,1.8999999999999995,1.204379051101032e-77
30,1.9999999999999991,6.032250524291169e-77
31,2.099999999999999,3.004595625943327e-76
32,2.1999999999999993,1.488360170415434e-75
33,2.2999999999999994,7.332783384342834e-75
34,2.3999999999999995,3.593275042671414e-74
35,2.499999999999999,1.75143210171666e-73
36,2.599999999999999,8.491731944831928e-73
37,2.6999999999999993,4.0955919668734895e-72
38,2.799999999999999,1.9650348412015267e-71
39,2.899999999999999,9.379315911378532e-71
40,2.999999999999999,4.453813670018663e-70
41,3.0999999999999988,2.1040886446081557e-69
42,3.1999999999999993,9.889556474328375e-69
43,3.299999999999999,4.6246479181455526e-68
44,3.3999999999999986,2.1516743937460265e-67
45,3.499999999999999,9.960384377339276e-67
46,3.5999999999999988,4.5875598639336424e-66
47,3.6999999999999993,2.102310000323451e-65
48,3.799999999999999,9.585688227713268e-65
49,3.8999999999999986,4.3487305708776985e-64
50,3.999999999999999,1.9629738272475999e-63
51,4.099999999999999,8.816141422486466e-63
52,4.199999999999999,3.939607707476339e-62
53,4.299999999999999,1.751601653286194e-61
54,4.399999999999999,7.748585621529937e-61
55,4.499999999999999,3.410439244741662e-60
56,4.599999999999999,1.4934627254236214e-59
57,4.699999999999998,6.506829367508136e-59
58,4.799999999999999,2.8205226321374214e-58
59,4.899999999999999,1.2163779174914885e-57
60,4.999999999999998,5.218904386037215e-57
61,5.099999999999999,2.227689441877148e-56
62,5.199999999999998,9.459901261070613e-56
63,5.299999999999999,3.9963814485962196e-55
64,5.399999999999999,1.6795268524028746e-54
65,5.499999999999998,7.021624160603386e-54
66,5.599999999999999,2.920178324278822e-53
67,5.699999999999998,1.2080712123641315e-52
68,5.799999999999999,4.971379719277039e-52
69,5.899999999999999,2.0349424171312782e-51
70,5.999999999999998,8.285282904972826e-51
71,6.099999999999999,3.3553013874872136e-50
72,6.199999999999998,1.3514916585084787e-49
73,6.299999999999998,5.41428644466626e-49
74,6.399999999999999,2.1572636878035473e-48
75,6.499999999999998,8.548447396535395e-48
76,6.599999999999998,3.3688437273956063e-47
77,6.699999999999998,1.3202964539655601e-46
78,6.799999999999998,5.145719767880894e-46
79,6.899999999999999,1.9943058443853733e-45
80,6.999999999999998,7.685904531291149e-45
81,7.099999999999998,2.945385902969722e-44
82,7.1999999999999975,1.1223274506210706e-43
83,7.299999999999999,4.252193965627073e-43
84,7.399999999999999,1.6018002396708733e-42
85,7.499999999999998,5.999166600134738e-42
86,7.599999999999998,2.2338088940682982e-41
87,7.6999999999999975,8.269107643511531e-41
88,7.799999999999997,3.0430815462998058e-40
89,7.899999999999999,1.113256898571011e-39
90,7.999999999999998,4.0484461500572345e-39
91,8.099999999999998,1.4634455725136273e-38
92,8.199999999999998,5.258281679616313e-38
93,8.299999999999997,1.8779056384215837e-37
94,8.399999999999999,6.665759915884437e-37
95,8.499999999999998,2.351552265916779e-36
96,8.599999999999998,8.244636273232434e-36
97,8.699999999999998,2.872650772543244e-35
98,8.799999999999997,9.946514877495163e-35
99,8.899999999999999,3.4222982258933844e-34
100,8.999999999999998,1.1700524855866136e-33
101,9.099999999999998,3.9747964812568015e-33
102,9.199999999999998,1.341614406748669e-32
103,9.299999999999997,4.4990902462470667e-32
104,9.399999999999999,1.4989477209351987e-31
105,9.499999999999998,4.961275796939655e-31
106,9.599999999999998,1.631268160223182e-30
107,9.699999999999998,5.3279745410455446e-30
108,9.799999999999997,1.7285545004228742e-29
109,9.899999999999997,5.570153964020309e-29
110,9.999999999999998,1.7827613106932708e-28
111,10.099999999999998,5.66682008501072e-28
112,10.199999999999998,1.788890922751712e-27
113,10.299999999999997,5.607949987292604e-27
114,10.399999999999997,1.7457316621447622e-26
115,10.499999999999998,5.39611003556699e-26
116,10.599999999999998,1.656115147363778e-25
117,10.699999999999998,5.0464125810608615e-25
118,10.799999999999997,1.526627658008618e-24
119,10.899999999999997,4.584762821588356e-24
120,10.999999999999996,1.366812017086975e-23
121,11.099999999999998,4.0446711146493674e-23
122,11.199999999999998,1.1879934073557685e-22
123,11.299999999999997,3.4631766755048653e-22
124,11.399999999999997,1.00193139783381e-21
125,11.499999999999996,2.876580069030136e-21
126,11.599999999999998,8.195246022678708e-21
127,11.699999999999998,2.3166794666295727e-20
128,11.799999999999997,6.49769259404507e-20
129,11.899999999999997,1.808056108920929e-19
130,11.999999999999996,4.991072459946849e-19
131,12.099999999999998,1.366703101993644e-18
132,12.199999999999998,3.712114087525302e-18
133,12.299999999999997,1.0000072524833249e-17
134,12.399999999999997,2.6716951850904968e-17
135,12.499999999999996,7.078466001657763e-17
136,12.599999999999998,1.8596266276671107e-16
137,12.699999999999998,4.844086627362121e-16
138,12.799999999999997,1.2510136238907096e-15
139,12.899999999999997,3.2028742074310744e-15
140,12.999999999999996,8.128461950292529e-15
141,13.099999999999996,2.0447004229141778e-14
142,13.199999999999998,5.09759310804791e-14
143,13.299999999999997,1.2594338000462433e-13
144,13.399999999999997,3.083329196757179e-13
145,13.499999999999996,7.479242628763544e-13
146,13.599999999999996,1.7974070106294637e-12
147,13.699999999999998,4.279010097726372e-12
148,13.799999999999997,1.0090305379215208e-11
149,13.899999999999997,2.3565926207906286e-11
150,13.999999999999996,5.4505210730638536e-11
