,epsilon,rho_epsilon
0,-3.0,1.7106632970357632e-40
1,-2.95,3.385358330643691e-40
2,-2.9000000000000004,8.412707802059184e-40
3,-2.8500000000000005,2.165088412310268e-39
4,-2.8000000000000007,5.579137936055783e-39
5,-2.750000000000001,1.4323634800029487e-38
6,-2.700000000000001,3.6611465326026387e-38
7,-2.6500000000000012,9.315496322503706e-38
8,-2.6000000000000014,2.3594204247271347e-37
9,-2.5500000000000016,5.948482015614768e-37
10,-2.5000000000000018,1.4927956770793413e-36
11,-2.450000000000002,3.728894479026658e-36
12,-2.400000000000002,9.271233974322033e-36
13,-2.3500000000000023,2.294378261792642e-35
14,-2.3000000000000025,5.651385540815275e-35
15,-2.2500000000000027,1.3854785594959527e-34
16,-2.200000000000003,3.3805882233183972e-34
17,-2.150000000000003,8.209658510152358e-34
18,-2.100000000000003,1.9842261198953637e-33
19,-2.0500000000000034,4.772913095203343e-33
20,-2.0000000000000036,1.1426030645689519e-32
21,-1.9500000000000037,2.722200430947837e-32
22,-1.900000000000004,6.454330585243147e-32
23,-1.850000000000004,1.5229387196122213e-31
24,-1.8000000000000043,3.576083755636852e-31
25,-1.7500000000000044,8.356435888411222e-31
26,-1.7000000000000046,1.943197631397647e-30
27,-1.6500000000000048,4.496658419367186e-30
28,-1.600000000000005,1.0354631597066738e-29
29,-1.5500000000000052,2.3727187540405628e-29
30,-1.5000000000000053,5.410283363895837e-29
31,-1.4500000000000055,1.2275846185284e-28
32,-1.4000000000000057,2.771636985649472e-28
33,-1.3500000000000059,6.226884678886691e-28
34,-1.300000000000006,1.392038429369733e-27
35,-1.2500000000000062,3.0965222517795216e-27
36,-1.2000000000000064,6.853883351225899e-27
37,-1.1500000000000066,1.5095099466938192e-26
38,-1.1000000000000068,3.308030942240258e-26
39,-1.050000000000007,7.213321915667864e-26
40,-1.000000000000007,1.5650614520988064e-25
41,-0.9500000000000073,3.37875169985857e-25
42,-0.9000000000000075,7.257862643312817e-25
43,-0.8500000000000076,1.5512717756471306e-24
44,-0.8000000000000078,3.299082048807667e-24
45,-0.750000000000008,6.981104333410818e-24
46,-0.7000000000000082,1.4698767960303227e-23
47,-0.6500000000000083,3.0793839051607074e-23
48,-0.6000000000000085,6.419089404814168e-23
49,-0.5500000000000087,1.3314061948643003e-22
50,-0.5000000000000089,2.7477449970801172e-22
51,-0.45000000000000906,5.642510647255819e-22
52,-0.40000000000000924,1.1529224947085e-21
53,-0.3500000000000094,2.3440209812919256e-21
54,-0.3000000000000096,4.741968324995487e-21
55,-0.25000000000000977,9.545394872049534e-21
56,-0.20000000000000995,1.9119202031574665e-20
57,-0.15000000000001013,3.8105611220803574e-20
58,-0.1000000000000103,7.557084178649628e-20
59,-0.05000000000001048,1.491312772060687e-19
60,-1.0658141036401503e-14,2.9284342508345937e-19
