c,rho_c,survival_rate
0.1,0.0,7.577451476995176e-140
0.1873817422860384,0.0,5.533853032791265e-105
0.3511191734215131,0.0,1.2218485041320484e-73
0.6579332246575679,0.0,4.388253927349163e-47
1.232846739442066,0.0,3.683466024541424e-26
2.3101297000831593,0.0,8.44666372354336e-11
4.328761281083057,0.0,1.0001776059525045
8.111308307896868,0.0,1.000174516303613
15.199110829529332,0.0,1.0003105246194197
28.48035868435799,0.0,1.0002620688334785
53.36699231206307,0.0,1.0000782069288408
100.0,0.0,1.0002047001130527
0.1,1e-07,0.0
0.1873817422860384,1e-07,0.0
0.3511191734215131,1e-07,0.0
0.6579332246575679,1e-07,0.0
1.232846739442066,1e-07,0.0
2.3101297000831593,1e-07,0.0
4.328761281083057,1e-07,1.0000558788413039
8.111308307896868,1e-07,1.0001763912418127
15.199110829529332,1e-07,1.0001858029963806
28.48035868435799,1e-07,1.0002635083519293
53.36699231206307,1e-07,1.0000744711090739
100.0,1e-07,1.0002010943573578
0.1,1e-05,0.0
0.1873817422860384,1e-05,0.0
0.3511191734215131,1e-05,0.0
0.6579332246575679,1e-05,0.0
1.232846739442066,1e-05,0.0
2.3101297000831593,1e-05,0.0
4.328761281083057,1e-05,0.0
8.111308307896868,1e-05,1.0002638746386063
15.199110829529332,1e-05,1.0003379933305259
28.48035868435799,1e-05,1.000200831657514
53.36699231206307,1e-05,1.0003098112163804
100.0,1e-05,1.000318504967688
