iteration,action,C_inj_0,t_inj_0
1,13262605103734.344,20.684076,0.0
2,2.780647023171351,48.19389708,0.0
3,2.6455263896033587,48.54736960259621,0.0
4,2.5309613162456337,48.87423727560063,0.0
5,2.4335389239087455,49.177370576975655,0.0
6,2.3504362298050427,49.45928226417415,0.0
7,2.279373625579412,49.72211598908172,0.0
8,2.1969484679368385,49.96773289320497,0.0
9,2.151989105936444,50.17620895569623,0.0
10,2.107384769869597,50.392097569200644,0.0
11,2.0485465679173345,50.5951170785931,0.0
12,2.0166673141331675,50.784933949280074,0.0
13,1.9894077467157842,50.964107585985545,0.0
14,1.9466021877249133,51.133533263943946,0.0
15,1.9276581036948741,51.29254505749223,0.0
16,1.8925872702811848,51.44341126258011,0.0
17,1.8608844505662532,51.58528918252034,0.0
18,1.8550250180793384,51.70125860507211,0.0
19,1.8283037166858307,51.829617681834456,0.0
20,1.8226304440415095,51.950641213086854,0.0
21,1.8002409202988972,52.06636269316917,0.0
22,1.779779779965848,52.175639106553994,0.0
23,1.7821682651402924,52.26231032812381,0.0
24,1.7645565424167398,52.36234927419045,0.0
25,1.7484204162413732,52.457014929377685,0.0
26,1.7335689100561762,52.546647682253166,0.0
27,1.740102784137374,52.615468465751114,0.0
28,1.7271260634776837,52.69828284244766,0.0
29,1.715135131952195,52.776826382170995,0.0
30,1.7063719605385117,52.835780024122066,0.0
