iteration,action,C_inj_0,t_inj_0
1,2.0759588974360148e+16,37.065907,0.0
2,236206.72220176042,86.36356331000002,0.0
3,8.991720975547246,201.22710251230006,0.0
4,8.986744635502506,201.15666716467325,0.0
5,8.981764607683036,201.08621332051996,0.0
6,8.976789393554121,201.01574097069494,0.0
7,8.971817526551416,200.94525340324336,0.0
8,8.966841979892958,200.8747473908399,0.0
9,8.961862750242666,200.8042229246272,0.0
10,8.95687983426953,200.73367999580304,0.0
11,8.951893228647558,200.66311859562134,0.0
12,8.94690293005564,200.592538715392,0.0
13,8.941908935177917,200.5219403464819,0.0
14,8.936911240703202,200.45132348031547,0.0
15,8.931909843326405,200.38068810837404,0.0
16,8.92690473974719,200.31003422219823,0.0
17,8.921895926671102,200.23936181338678,0.0
18,8.916883400808768,200.16867087359807,0.0
19,8.911867158876479,200.09796139455017,0.0
20,8.906857573603531,200.02723336802148,0.0
21,8.901849646264715,199.95649115289265,0.0
22,8.89683801167366,199.88573045442286,0.0
23,8.89182266660381,199.81495126470318,0.0
24,8.886803607835166,199.74415357588768,0.0
25,8.881780832152895,199.67333738019374,0.0
26,8.87675433634932,199.60250266990207,0.0
27,8.87172411722263,199.5316494373582,0.0
28,8.866690171577696,199.4607776749721,0.0
29,8.861652496225753,199.38988737521913,0.0
30,8.85661108798472,199.3189785306411,0.0
