iteration,action,C_inj_0,t_inj_0
1,4.804745512063843e+16,119.14573,0.0
2,1.5261281313097408e+16,277.6095509,0.0
3,11796248.064945482,646.8302535969999,0.0
4,14.871551327234428,1507.1144908810097,0.0
5,14.871505652635488,1507.1077342990955,0.0
6,14.871459977413611,1507.1009776711048,0.0
7,14.871414301568679,1507.094220997037,0.0
8,14.871368625100672,1507.087464276891,0.0
9,14.871322948009569,1507.0807075106666,0.0
10,14.871277270295403,1507.0739506983625,0.0
11,14.871231591958036,1507.0671938399782,0.0
12,14.87118591299759,1507.0604369355126,0.0
13,14.871140233413959,1507.0536799849651,0.0
14,14.871094553207296,1507.046922988335,0.0
15,14.871048872377369,1507.0401659456213,0.0
16,14.871003190924249,1507.0334088568234,0.0
17,14.870957508847898,1507.0266517219402,0.0
18,14.870911826148443,1507.0198945409713,0.0
19,14.870866142825705,1507.0131373139159,0.0
20,14.87082045887971,1507.006380040773,0.0
21,14.870774774310423,1506.9996227215418,0.0
22,14.87072908911788,1506.9928653562215,0.0
23,14.870683403302065,1506.9861079448115,0.0
24,14.870637716862916,1506.9793504873107,0.0
25,14.870592029800509,1506.9725929837186,0.0
26,14.870546342114677,1506.9658354340345,0.0
27,14.870500653805557,1506.9590778382574,0.0
28,14.870454964873073,1506.9523201963866,0.0
29,14.870409275317183,1506.9455625084213,0.0
30,14.870363585137902,1506.9388047743605,0.0
