iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1,C_inj_2,t_inj_2
1,36.37241509102418,15.940841,0.0,3.17092,71.53222,3.194743,105.68527
2,-0.4280396956794177,19.93839184796338,0.0,12.372714403845952,71.43819777420747,11.807879002116163,105.22593948835063
3,-0.7245058699137825,19.534336261497394,0.0,12.100942982782346,71.54700995532605,11.575780266420795,105.28761626892165
4,-0.9768740294005687,19.19458257985235,0.0,11.848961706670172,71.6331286549641,11.35827738652444,105.31175508479816
5,-1.1736141580660107,18.82884084326028,0.0,11.566060514672074,71.6959481122063,11.156371700878367,105.3326009584822
6,-1.3222821178694133,18.55925298797428,0.0,11.366792480700125,71.78583512360841,10.975872588149638,105.34982724725074
7,-1.4380824397142886,18.304820478652605,0.0,11.143360959497265,71.8534083019087,10.815546723820681,105.36374708452915
8,-1.5109394753558734,18.089627560958046,0.0,11.004774386757166,71.89908648578198,10.67873320230346,105.37433145582006
9,-1.608003004219003,17.852731868941376,0.0,10.842530695307723,71.9712259378929,10.562730784480905,105.41821855819275
10,-1.641138351372966,17.692921580598924,0.0,10.715235876825083,71.97565126934637,10.473435761984799,105.42344144985955
11,-1.6284423505492107,17.557481714466537,0.0,10.614156401213734,72.01204673538726,10.403873279228257,105.4263034612818
12,-1.6545321360128655,17.472781271905568,0.0,10.536882510826224,72.03470366141067,10.35243506668207,105.42706591087745
13,-1.6523009696098585,17.38701882960335,0.0,10.477356581178793,72.04731728560084,10.314095384185627,105.42417133403525
14,-1.6691413213589952,17.322665653756175,0.0,10.434254013016588,72.05041949910843,10.287705219738108,105.42214892487003
15,-1.6644684526367515,17.251872245637973,0.0,10.40386299881324,72.04712767554518,10.270208179718598,105.41917654898081
16,-1.6757546126995502,17.17671569050099,0.0,10.383702864249969,72.03740315236328,10.260995935008175,105.41531371057201
17,-1.672010061118936,17.158785298067734,0.0,10.374608976058198,72.01608956944412,10.259310833280079,105.41068392897998
18,-1.6987872216082893,17.145290355502905,0.0,10.36780416970752,71.99952381158165,10.259328813437197,105.40588928445956
19,-1.6730045577300192,17.106698192986794,0.0,10.36261706779436,71.98154042632494,10.260531886747932,105.40098397170263
20,-1.685635627580325,17.108841487169453,0.0,10.361194417615284,71.96192443250122,10.264761190868942,105.39579094145897
21,-1.6754656674965371,17.060702879025982,0.0,10.309536003861629,71.94500880287306,10.268479884459111,105.39057584649476
22,-1.6739569610406368,17.049896392569828,0.0,10.31616884731223,71.92132700687749,10.278887975778105,105.38470843581126
23,-1.6512222046250695,16.961798015563073,0.0,10.27445633094742,71.89902138698079,10.287737374520056,105.41523399083447
24,-1.650860989641445,16.983814825757356,0.0,10.292909090882652,71.86316667621092,10.306686190619967,105.40814354027637
25,-1.6693576122863076,16.962308428444167,0.0,10.303592887917738,71.8855593733237,10.320714790721148,105.40162872068167
26,-1.6558676045299316,16.977196545119092,0.0,10.316662860533517,71.85790743266324,10.335485130793465,105.39509307080158
27,-1.699345431358445,16.98303766253071,0.0,10.323642457502533,71.87985500823746,10.346744351883533,105.38897647324663
28,-1.626833588266365,16.907452923018354,0.0,10.280764803057025,71.8552751569322,10.35688803306958,105.3830531267349
29,-1.6569787734675288,16.938186475702608,0.0,10.300481594265154,71.82485770949492,10.374263038204973,105.41269653670813
30,-1.6832945608489336,16.92458104585537,0.0,10.310714824556207,71.8482176305175,10.387198368000481,105.40607617677753
