iteration,action,C_inj_0,t_inj_0,C_inj_1,t_inj_1
1,38.17957563815574,13.108559,0.0,3.5591366,89.6414
2,-0.8662627718044549,19.316627030035406,0.0,14.643743819006117,89.23529050093404
3,-1.0667743852383964,18.818781418578702,0.0,14.324375291933812,89.33001051569201
4,-1.2779127104287111,18.475387052481253,0.0,14.09992800144778,89.44840468050094
5,-1.400887169671913,18.114654828578203,0.0,13.908657439021116,89.54739787812255
6,-1.5111621796368677,17.78873385186423,0.0,13.7565733738179,89.56108566713236
7,-1.547617828233676,17.553144198024555,0.0,13.5848264043542,89.6103145905363
8,-1.5616120016760666,17.3396967473639,0.0,13.44914691949969,89.63335696047912
9,-1.561551627996855,17.21864226820046,0.0,13.403458506981343,89.64295213754839
10,-1.5860028183186365,17.081935178119277,0.0,13.376107133888953,89.63893954511153
11,-1.5520526331523854,16.99078067533364,0.0,13.311514583395065,89.62461473577305
12,-1.5784656957103609,16.935340537040723,0.0,13.319348146775043,89.65785213665218
13,-1.5626155917048061,16.860329077542865,0.0,13.335231124998474,89.63362398905034
14,-1.5945956071106329,16.806578770142412,0.0,13.358736509223458,89.6594060340885
15,-1.5783963734654236,16.77028120216791,0.0,13.332684773897675,89.6265353957012
16,-1.576122461432794,16.746511465234658,0.0,13.3129763890097,89.58739020296203
17,-1.5673570433734216,16.675323468760872,0.0,13.297316169244507,89.54991230506877
18,-1.5839912476532074,16.62847902792668,0.0,13.291805613154992,89.5043841209502
19,-1.526123057712062,16.596863768241988,0.0,13.292194429088754,89.45509679132539
20,-1.55966421532196,16.62783916671492,0.0,13.350639728434189,89.46086268120413
21,-1.5735249862387004,16.64040654656056,0.0,13.399279752537836,89.46970598626545
22,-1.6011950175621958,16.642451608516005,0.0,13.442696767414603,89.42409065210765
23,-1.5622602378022323,16.54076691374857,0.0,13.424757763411256,89.38669521080453
24,-1.5674774038841761,16.568841690872105,0.0,13.476924314705968,89.33922111465255
25,-1.5863303726224185,16.53786261054374,0.0,13.519164569382857,89.35130841859647
26,-1.552447466688733,16.496135622678537,0.0,13.506817165144094,89.30992716096227
27,-1.5946383985760715,16.485173378958358,0.0,13.555374926466799,89.3209461406282
28,-1.5897610067035073,16.417126278626423,0.0,13.546267995115446,89.2744031794443
29,-1.5193333517794603,16.371891070752667,0.0,13.546146832976142,89.2238270698624
30,-1.5858336980434151,16.432427828701094,0.0,13.606154053961845,89.22426731618899
