c,rho_c,survival_rate
1,0.0,1.1967072729313547e-28
3,0.0,1.0001366861969088
5,0.0,1.0002574636536194
7,0.0,1.0002428982546443
9,0.0,1.000270797113669
11,0.0,1.0001326661217027
13,0.0,1.0000450729783112
1,1e-07,0.0
3,1e-07,0.0
5,1e-07,0.0
7,1e-07,1.0001846670811771
9,1e-07,1.0001880691033649
11,1e-07,1.000253267050378
13,1e-07,1.0002052284218688
1,1e-05,0.0
3,1e-05,0.0
5,1e-05,0.0
7,1e-05,0.0
9,1e-05,0.0
11,1e-05,0.0
13,1e-05,1.000409254005673
